old_name,fix_name
25_alikhali_d_3,camp_25
aa_24,need_to_remove
"Block-5,Sub Block-G-",need_to_remove
"Block-A2, Camp-19 Ca",camp_19
"Block-E1, Camp-2",need_to_remove
"Block-G,Sub Block-C-",need_to_remove
"Block-I1/23, Camp-1",need_to_remove
"Block-I3/R, Camp-1",need_to_remove
"Block-I3/y, Camp-1",need_to_remove
Block PP 12,need_to_remove
"Bolck-D4, Camp-2",need_to_remove
"Camp-1, Block-Jc-2",need_to_remove
camp_15_g_7,camp_15
camp_17_h_12,camp_17
camp_17_h_92,camp_17
d_d_24,need_to_remove
f_7,need_to_remove
h_5,need_to_remove
i_1_19,need_to_remove
i_1_20,need_to_remove
i_1_31,need_to_remove
i_2_17,need_to_remove
i_2_22,need_to_remove
i_2_camp_3,need_to_remove
i_2_d_1,need_to_remove
i_2_d_3,need_to_remove
i_2_f_1,need_to_remove
i_2_f_3,need_to_remove
i_2_f_4,need_to_remove
i_3_w,need_to_remove
relucation_camp_15,camp_15
"Sub Block-A-15,Camp-",need_to_remove
sub_block_r_1_block_a,need_to_remove
"Block-I3/j, Camp-1",need_to_remove
B-E-3,need_to_remove
i_2_e_1,need_to_remove
"Block-22A, Camp-1",need_to_remove
"Block-I3/V, Camp-1",need_to_remove
"Block- I3X, Camp-1",need_to_remove
"Block-D1, Camp-2",need_to_remove
i_1_08,need_to_remove
i_2_e_2,need_to_remove
moynergona,need_to_remove
17,camp_17
8_w_a_33,camp_8_w
8_w_a_34,camp_8_w
8_w_a_42,camp_8_w
8_w_a_44,camp_8_w
8_w_a_58,camp_8_w
8_w_a_59,camp_8_w
8_w_a_62,camp_8_w
8_w_a_63,camp_8_w
8_w_a_64,camp_8_w
8_w_a_65,camp_8_w
8_w_i_17,camp_8_w
8_w_i_19,camp_8_w
8_w2,camp_8_w
cam_13_camp_2,need_to_remove
Camp-08  I-21,need_to_remove
i_1_33,need_to_remove
ie_i_1_29,need_to_remove
1_w_28,camp_1_w
8_w,camp_8_w
"Block-E,Sub Block-E-",need_to_remove
"Bolck-E3, Camp-2",need_to_remove
"Bolock-E2, Camp-2",need_to_remove
1_e_i_1_18,need_to_remove
ie_i_1_10,need_to_remove
1_e_jc,need_to_remove
Block-E sub block-E1,need_to_remove
camp_19_a_1_2,camp_19
camp_19_a_1,camp_19
camp_34_3,need_to_remove
ie_i_1_28,need_to_remove
1_e6,camp_1_e
s_3_b_5,need_to_remove
Block-C Sub block-C-,need_to_remove
"Block-c, sub block-c",need_to_remove
"Block-D,Sub block-D3",need_to_remove
"Block-F,S-Block-F4,C",need_to_remove
"Block-F,Sblock-F4,Ca",need_to_remove
"Block-F,Sub block-F4",need_to_remove
Block A/Sub 8/  Camp,need_to_remove
Block A/Sub A8/ Camp,need_to_remove
Block A/Sub A8/Camp,need_to_remove
Block D subblckD3 ca,need_to_remove
Block E /sub block E,need_to_remove
f_f_4_camp_no_15,camp_15
"Block-E,sub block E-",need_to_remove
Block D sub block D3,need_to_remove
BlockE.subblockE 1.C,need_to_remove
"Block C ,Sub block-C",need_to_remove
Block E Sub block E,need_to_remove
"Camp (2), Ext Si B3",need_to_remove
f_1camp_15,camp_15
a,need_to_remove
Camp,need_to_remove
f_12_camp_16,need_to_remove
f_12_camp_17,need_to_remove
f_12_camp_18,need_to_remove
f_12_camp_19,need_to_remove
f_12_camp_20,need_to_remove
f_12_camp_21,need_to_remove
f_12_camp_22,need_to_remove
f_12_camp_23,need_to_remove
f_12_camp_24,need_to_remove
f_12_camp_25,need_to_remove
f_12_camp_26,need_to_remove
f_12_camp_27,need_to_remove
f_12_camp_28,need_to_remove
f_12_camp_29,need_to_remove
f_12_camp_30,need_to_remove
f_12_camp_31,need_to_remove
f_12_camp_32,need_to_remove
f_12_camp_33,need_to_remove
f_12_camp_34,need_to_remove
f_12_camp_35,need_to_remove
f_12_camp_36,need_to_remove
f_12_camp_37,need_to_remove
f_12_camp_38,need_to_remove
f_12_camp_39,need_to_remove
f_12_camp_40,need_to_remove
f_12_camp_41,need_to_remove
f_12_camp_42,need_to_remove
f_12_camp_43,need_to_remove
f_12_camp_44,need_to_remove
f_12_camp_45,need_to_remove
f_12_camp_46,need_to_remove
f_12_camp_47,need_to_remove
f_12_camp_48,need_to_remove
f_12_camp_49,need_to_remove
f_12_camp_50,need_to_remove
f_12_camp_51,need_to_remove
f_12_camp_52,need_to_remove
f_12_camp_53,need_to_remove
f_12_camp_54,need_to_remove
f_12_camp_55,need_to_remove
f_12_camp_56,need_to_remove
f_12_camp_57,need_to_remove
f_12_camp_58,need_to_remove
f_12_camp_59,need_to_remove
f_12_camp_60,need_to_remove
f_12_camp_61,need_to_remove
f_12_camp_62,need_to_remove
f_12_camp_63,need_to_remove
f_12_camp_64,need_to_remove
f_12_camp_65,need_to_remove
f_12_camp_66,need_to_remove
f_12_camp_67,need_to_remove
f_12_camp_68,need_to_remove
f_12_camp_69,need_to_remove
f_12_camp_70,need_to_remove
f_12_camp_71,need_to_remove
f_12_camp_72,need_to_remove
f_12_camp_73,need_to_remove
